Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,leverager,ratio_indicator_entry,rsi_threshold,swapper_long_entry,swapper_short_entry,top_traders_entry,use_divergence_entry,ratio_indicator_exit,swapper_long_exit,swapper_short_exit,top_traders_exit,use_divergence_exit,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss,trailing_stop,trailing_stop_positive,trailing_stop_positive_offset_p1,trailing_only_offset_is_reached,max_open_trades
* Best,3,30741,0.02%,0.11959901266731185,0.71873612,,718.74,0:58:00,15249,15492,-4.90248,1.5,1.3,17,1,3,False,False,0.8,4,2,False,False,17,29,39,0.01,0.07,0.165,-0.11,True,0.254,0.008,True,7
* Best,7,5193,0.24%,1.8001800180018002,3.70254625,,"3,702.55",1:34:00,2532,2661,-13.09827,5.2,2.0,26,1,3,True,True,1.7,2,1,False,True,78,59,14,0.018,0.024,0.185,-0.309,True,0.223,0.09,False,2
*,9,13397,0.07%,1.2793089946217684,0.41746368,,417.46,1:19:00,4198,9199,-2.08093,4.1,0.9,26,1,1,True,False,1.9,3,2,True,True,76,44,22,0.014,0.023,0.108,-0.238,True,0.076,0.028,False,9
* Best,11,5813,0.33%,1.8867262636021627,5.61032692,,"5,610.33",0:58:00,2906,2907,-47.39910,8.1,1.3,30,4,3,True,True,0.8,2,2,False,False,12,42,22,0.023,0.064,0.073,-0.158,True,0.16,0.066,True,6
*,12,6282,0.25%,1.9001900190018999,4.40205489,,"4,402.05",1:07:00,2233,4049,-21.86819,7.6,0.8,30,1,1,True,True,0.7,1,4,False,False,47,20,32,0.019,0.049,0.018,-0.182,True,0.245,0.036,True,3
*,13,11216,0.06%,0.2304695517799671,6.72105020,,"6,721.05",1:54:00,5996,5220,-33.87929,1.7,1.4,15,1,2,False,False,1.2,2,4,False,False,65,27,13,0.017,0.031,0.047,-0.273,True,0.226,0.082,False,2
*,17,12190,0.07%,0.08814814308991624,1.20492165,,"1,204.92",1:13:00,6706,5484,-17.54426,2.4,2.0,25,3,2,True,False,1.4,2,3,False,True,15,17,35,0.015,0.06,0.063,-0.16,True,0.021,0.05,False,8
*,18,15827,0.09%,0.384859532798696,1.57278566,,"1,572.79",1:09:00,6041,9786,-8.91080,4.1,1.5,28,2,4,False,True,1.5,1,3,False,True,42,27,25,0.035,0.033,0.192,-0.113,True,0.155,0.049,True,7
* Best,19,35764,0.29%,1.7998200179980346,"2,242.23577231",,"2,242,235.77",0:39:00,17478,18286,"-49,432.57990",7.7,1.1,17,4,4,True,False,0.5,4,2,False,False,88,25,26,0.018,0.024,0.127,-0.13,True,0.017,0.031,True,4
*,20,7557,0.12%,0.5649611524345339,5.54765246,,"5,547.65",1:35:00,3241,4316,-39.61704,2.8,1.5,27,3,1,True,True,2.0,4,2,True,False,114,48,28,0.017,0.051,0.109,-0.282,True,0.059,0.003,False,3
