Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,swapper_long_entry,swapper_short_entry,top_traders_entry,use_divergence_entry,swapper_long_exit,swapper_short_exit,top_traders_exit,use_divergence_exit,max_open_trades
* Best,1,18639,0.03%,0.08704696982121916,1.15573296,,"1,155.73",1:10:00,10110,8529,-11.17259,2,3,False,True,1,2,False,True,6
* Best,2,12452,0.05%,0.12087716111976435,2.50547499,,"2,505.47",1:23:00,6630,5822,-15.46411,4,2,False,True,1,1,False,False,5
*,3,7483,0.01%,0.08429414406601192,0.54637393,,546.37,1:35:00,3546,3937,-0.97950,2,4,False,False,3,4,True,True,1
*,4,17280,0.04%,0.07204635136460552,1.47101167,,"1,471.01",2:14:00,8997,8283,-9.27605,2,4,True,True,2,4,True,True,6
*,5,54409,0.01%,0.054022236608222675,0.39961320,,399.61,1:08:00,11962,42447,-6.93194,1,4,False,True,1,4,False,True,9
*,6,16812,0.03%,0.10354303703305634,1.50315446,,"1,503.15",1:07:00,9467,7345,-11.12508,2,2,False,True,1,3,False,True,5
* Best,7,27091,0.04%,0.08782357058411806,1.61841391,,"1,618.41",1:27:00,11359,15732,-21.07784,3,1,True,False,4,4,False,True,9
*,8,13112,0.07%,0.1095145740090951,1.52094176,,"1,520.94",2:01:00,6144,6968,-16.61470,4,2,False,False,3,4,True,True,9
*,9,4484,0.07%,0.12368059496491658,9.66729708,,"9,667.30",1:55:00,2409,2075,-4.13943,4,3,True,False,3,1,False,True,1
*,10,5087,0.05%,0.12040691776346063,5.58069105,,"5,580.69",1:50:00,3084,2003,-1.97969,2,3,True,True,3,3,True,True,1
*,11,20625,0.02%,0.09618337618416402,0.74851535,,748.52,1:48:00,15224,5401,-4.17965,2,3,False,True,2,3,True,True,4
*,12,16922,0.01%,0.09901163912295051,0.51928082,,519.28,1:45:00,13007,3915,-2.46519,3,2,False,True,2,2,True,False,3
*,13,15485,0.06%,0.13338476942385025,1.50893651,,"1,508.94",1:55:00,8232,7253,-18.53633,4,2,True,True,4,1,True,False,10
*,14,27802,0.04%,0.09387443943532754,2.02337797,,"2,023.38",1:13:00,18149,9653,-20.64573,2,4,True,False,1,1,False,False,8
*,15,18475,0.00%,0.0065144372337551885,0.00030284,,0.30,0:29:00,1873,16602,-0.00082,4,1,False,True,2,3,False,False,1
*,16,25194,0.02%,0.08410417694189867,1.19518299,,"1,195.18",1:18:00,7692,17502,-12.07159,3,1,True,False,2,2,False,False,6
*,17,5760,0.03%,0.0646466373651397,1.49166630,,"1,491.67",1:20:00,2628,3132,-1.57662,3,3,True,False,2,2,False,False,1
*,18,6122,0.03%,0.10954487451163586,2.11366442,,"2,113.66",1:35:00,3303,2819,-1.73685,2,1,True,False,4,2,True,False,1
*,19,5114,0.04%,0.09084190205768583,4.22256681,,"4,222.57",1:56:00,2130,2984,-2.91572,4,1,True,False,3,4,False,False,1
*,20,18118,0.05%,0.09926559409082275,1.92564625,,"1,925.65",2:00:00,8481,9637,-16.45586,3,4,True,True,2,1,False,False,8
*,21,87938,-0.01%,-0.02000200020002,-0.72765840,,-727.66,0:19:00,6559,81379,15.62202,4,4,False,True,1,2,False,False,5
*,22,15680,0.03%,0.07299631914263573,0.92486040,,924.86,1:28:00,7743,7937,-8.42587,3,2,True,True,2,2,False,False,6
*,23,18250,0.03%,0.04036275515729407,1.00360853,,"1,003.61",0:44:00,8165,10085,-12.45599,1,2,False,False,4,2,False,False,6
*,24,34984,0.01%,0.10435523611817922,0.48998911,,489.99,1:46:00,27023,7961,-6.61646,3,3,False,True,2,1,True,True,8
*,25,35179,0.01%,0.08811356270950448,0.47844499,,478.44,1:49:00,6074,29105,-7.26491,4,1,False,False,2,4,False,True,9
*,26,4134,0.09%,0.13158357246755084,18.01945967,,"18,019.46",2:02:00,2103,2031,-4.28684,1,3,True,False,3,1,True,True,1
*,27,5115,0.04%,0.10665406889262762,3.97908313,,"3,979.08",1:19:00,3020,2095,-3.36146,4,3,False,True,1,4,False,False,1
*,28,5130,0.02%,0.09596624995555732,0.85079180,,850.79,1:56:00,3084,2046,-0.74438,2,4,True,False,3,4,False,True,1
*,29,62638,0.01%,0.11125122034355249,1.30049597,,"1,300.50",1:20:00,30139,32499,-18.66180,3,4,False,True,3,3,True,True,9
*,30,17130,0.05%,0.09210641715525587,2.26056983,,"2,260.57",1:17:00,9523,7607,-17.36194,4,3,True,False,4,1,False,True,6
,31,4530,0.06%,0.11710140516773813,8.63339821,,"8,633.40",1:59:00,2543,1987,-4.01908,3,3,True,True,3,4,False,False,1
,32,4714,0.05%,0.10938842763733238,5.69831168,,"5,698.31",1:58:00,2498,2216,-3.65242,3,4,True,True,3,4,False,False,1
,33,16994,0.04%,0.1124039553129192,1.82894988,,"1,828.95",1:55:00,9246,7748,-9.77700,2,4,True,True,4,1,True,False,5
,34,20942,0.03%,0.08860650252303945,1.65254369,,"1,652.54",0:43:00,9063,11879,-15.29783,4,4,True,True,4,3,False,False,5
,35,16948,0.05%,0.09584778014147194,3.47639247,,"3,476.39",1:17:00,9036,7912,-19.04229,4,4,True,True,4,1,False,False,5
,36,20940,0.04%,0.09347724312647322,3.34542173,,"3,345.42",1:13:00,13044,7896,-18.44363,2,4,True,True,4,1,False,False,5
,37,13750,0.06%,0.13007509289159178,3.84887674,,"3,848.88",1:59:00,5953,7797,-16.35596,1,4,True,True,4,1,True,False,5
,38,19067,0.04%,0.10503602709473989,2.38031942,,"2,380.32",1:22:00,7466,11601,-15.14484,1,1,True,True,4,1,False,False,5
