Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,swapper_long_entry,swapper_short_entry,swapper_long_exit,swapper_short_exit
* Best,1,3709,0.04%,0.010067694606869388,1.64567026,,"1,645.67",3:15:00,734,2975,"-1,583.29727",pro-negative,pro-positive,pro-positive,pro-positive
* Best,2,2797,0.08%,0.14137574764761687,5.79217801,,"5,792.18",1:52:00,2362,435,"-5,689.66584",anti-negative,anti-positive,pro-negative,pro-positive
* Best,3,2807,0.08%,0.1398676889586385,5.89085525,,"5,890.86",1:51:00,2370,437,"-5,786.78046",anti-negative,anti-positive,pro-negative,anti-positive
* Best,4,4210,0.10%,0.1584458178199622,31.45430100,,"31,454.30",1:53:00,2212,1998,"-30,967.47749",anti-negative,pro-negative,pro-negative,anti-negative
*,5,3031,0.06%,0.14287176236234045,3.50746276,,"3,507.46",1:57:00,918,2113,"-3,458.57698",pro-positive,pro-negative,anti-positive,pro-negative
*,6,1390,0.05%,0.0899201374041478,0.69895539,,698.96,2:03:00,931,459,-641.85927,pro-positive,anti-positive,pro-negative,pro-negative
*,7,2816,0.08%,0.14560396493809788,5.91007548,,"5,910.08",1:48:00,2375,441,"-5,802.65040",anti-negative,anti-positive,pro-negative,pro-negative
*,8,4964,-0.03%,0.0,-0.85920134,,-859.20,2:10:00,4693,271,695.81347,anti-positive,anti-positive,pro-negative,anti-positive
*,9,2491,0.03%,0.09252597934569431,0.70827049,,708.27,1:29:00,2051,440,-652.80074,anti-positive,anti-positive,pro-positive,anti-negative
*,10,3525,0.07%,0.14244919715002627,7.28592385,,"7,285.92",1:34:00,1374,2151,"-7,226.10308",anti-negative,pro-negative,pro-positive,pro-negative
*,11,4667,0.06%,0.12372025854434203,10.54130321,,"10,541.30",1:51:00,2447,2220,"-9,954.51341",pro-negative,anti-negative,anti-negative,anti-negative
*,12,3598,0.05%,0.12978870365991077,2.76939492,,"2,769.39",1:32:00,981,2617,"-2,623.15822",pro-positive,anti-negative,anti-negative,pro-negative
*,13,3210,0.03%,0.1114335990503763,1.18235907,,"1,182.36",1:07:00,1428,1782,"-1,051.98949",anti-negative,anti-negative,pro-positive,anti-positive
*,14,5106,-0.00%,0.008722442143054347,-0.49933066,,-499.33,2:20:00,3821,1285,438.65603,anti-positive,anti-negative,pro-negative,pro-positive
*,15,4029,0.05%,0.13067591784788601,5.09954909,,"5,099.55",1:38:00,1929,2100,"-5,034.12732",anti-positive,pro-negative,pro-positive,anti-negative
*,16,3322,0.03%,0.061700226173721,0.54362608,,543.63,2:16:00,2038,1284,-509.56038,anti-negative,pro-positive,anti-positive,anti-positive
*,17,1500,0.03%,0.14313966803652026,0.41282443,,412.82,1:30:00,1032,468,-358.92991,pro-positive,anti-positive,anti-negative,anti-positive
*,18,3528,0.05%,0.08401325628253804,2.49144616,,"2,491.45",2:12:00,1674,1854,"-2,362.61193",anti-positive,pro-negative,pro-positive,pro-positive
*,19,4947,-0.03%,0.0,-0.86273699,,-862.74,2:11:00,4677,270,700.18530,anti-positive,anti-positive,pro-negative,pro-positive
*,20,4000,0.06%,0.08775115478816847,4.43213491,,"4,432.13",2:15:00,1952,2048,"-4,295.81054",anti-negative,anti-negative,anti-positive,pro-negative
*,21,1919,0.03%,0.08474926738615562,0.62611483,,626.11,1:34:00,955,964,-512.53595,pro-positive,pro-negative,anti-positive,anti-positive
*,22,3638,0.02%,0.08955440333266859,0.66799329,,667.99,1:18:00,2056,1582,-600.93247,pro-negative,anti-negative,pro-positive,anti-positive
*,23,2594,0.03%,0.09046684760845716,0.41517178,,415.17,1:28:00,2150,444,-361.39056,pro-negative,anti-positive,pro-positive,pro-positive
*,24,3826,-0.03%,0.005270992090476924,-0.82203804,,-822.04,3:13:00,2973,853,658.60430,anti-positive,anti-negative,anti-positive,pro-positive
*,25,1498,0.03%,0.14288038270413028,0.37689469,,376.89,1:33:00,1032,466,-314.60261,pro-positive,anti-positive,anti-negative,pro-positive
*,26,3987,0.06%,0.12399959419405317,7.62224623,,"7,622.25",1:25:00,1372,2615,"-7,419.64771",anti-negative,anti-negative,pro-positive,pro-negative
*,27,3694,0.06%,0.12128109149727069,4.32982670,,"4,329.83",1:44:00,1302,2392,"-4,074.41807",anti-negative,anti-negative,pro-positive,anti-negative
*,28,3587,0.03%,0.010074661293142355,0.62744356,,627.44,3:17:00,535,3052,-587.67146,anti-negative,pro-positive,pro-positive,pro-positive
*,29,3928,0.03%,0.06802049601053796,1.31955559,,"1,319.56",1:46:00,2580,1348,"-1,242.22416",pro-negative,anti-negative,pro-negative,anti-positive
*,30,1372,0.05%,0.08692911011653513,0.60583218,,605.83,2:13:00,924,448,-537.24308,pro-positive,anti-positive,pro-negative,pro-positive
,31,4019,0.05%,0.04374561101744337,2.39833939,,"2,398.34",2:30:00,2143,1876,"-2,284.60728",pro-negative,anti-negative,anti-positive,pro-positive
,32,3709,0.04%,0.01898838860274456,1.44069903,,"1,440.70",2:41:00,2156,1553,"-1,368.64958",pro-negative,pro-negative,anti-positive,pro-positive
,33,2964,0.06%,0.1297045536586996,2.90654408,,"2,906.54",2:02:00,883,2081,"-2,745.69991",pro-positive,pro-negative,pro-negative,anti-negative
,34,2777,0.08%,0.13549189404543216,4.73665817,,"4,736.66",1:54:00,2357,420,"-4,648.74572",anti-negative,anti-positive,anti-negative,anti-negative
,35,5339,0.03%,0.010056265552875386,2.13131668,,"2,131.32",2:13:00,1463,3876,"-2,027.48183",pro-negative,pro-positive,anti-negative,anti-negative
,36,5171,0.04%,0.010048379175479776,3.06152416,,"3,061.52",2:17:00,1288,3883,"-2,897.74391",anti-negative,pro-positive,anti-negative,anti-negative
,37,4595,0.08%,0.13784401455370854,22.25089184,,"22,250.89",1:46:00,2596,1999,"-21,904.18278",pro-negative,pro-negative,anti-negative,anti-negative
,38,4193,0.03%,0.038591074177832856,1.14896460,,"1,148.96",2:18:00,2290,1903,"-1,078.90898",pro-negative,anti-negative,anti-positive,anti-negative
,39,3033,0.06%,0.03828741196717413,2.88007518,,"2,880.08",2:04:00,2646,387,"-2,766.06383",pro-negative,anti-positive,pro-negative,anti-negative
,40,3187,0.06%,0.1150245811038225,3.02928267,,"3,029.28",1:43:00,2767,420,"-2,903.38184",pro-negative,anti-positive,anti-negative,anti-negative
,41,5089,0.03%,0.01000100010001,1.67538330,,"1,675.38",2:21:00,1422,3667,"-1,569.18674",pro-negative,pro-positive,pro-negative,anti-negative
,42,5408,0.00%,0.0036547203488135733,-0.45073720,,-450.74,2:10:00,4240,1168,382.38388,anti-positive,pro-negative,anti-negative,anti-negative
,43,4344,0.09%,0.13731768580063664,24.04939991,,"24,049.40",1:58:00,2112,2232,"-23,669.59367",anti-negative,anti-negative,anti-negative,anti-negative
,44,5403,0.00%,0.007358264420421932,-0.45422596,,-454.23,2:12:00,4091,1312,385.48181,anti-positive,anti-negative,anti-negative,anti-negative
,45,3308,0.04%,0.12691909755260591,1.35355473,,"1,353.55",1:53:00,924,2384,"-1,218.30999",pro-positive,anti-negative,anti-negative,anti-negative
,46,5350,-0.01%,0.004186766460478934,-0.62343225,,-623.43,2:13:00,4055,1295,526.28393,anti-positive,anti-negative,pro-negative,anti-negative
,47,4404,0.06%,0.08372984007440983,6.05778902,,"6,057.79",2:03:00,2359,2045,"-5,786.09149",pro-negative,anti-negative,pro-negative,anti-negative
,48,4827,0.00%,0.009977633277346427,-0.25787047,,-257.87,2:19:00,567,4260,220.45919,pro-positive,pro-positive,pro-negative,anti-negative
,49,3834,0.06%,0.0727172403432556,5.20401141,,"5,204.01",2:26:00,1881,1953,"-5,007.51271",anti-negative,anti-negative,anti-positive,anti-negative
,50,4328,0.09%,0.13701117623276632,25.32692661,,"25,326.93",1:58:00,2104,2224,"-24,927.44418",anti-negative,anti-negative,pro-negative,anti-negative
,51,2445,0.05%,0.1067997195207556,1.73931378,,"1,739.31",1:03:00,1462,983,"-1,684.89862",anti-negative,pro-negative,pro-positive,anti-positive
,52,3713,0.07%,0.08691554306884651,5.98597063,,"5,985.97",2:24:00,1959,1754,"-5,872.86451",anti-negative,pro-negative,anti-positive,pro-negative
,53,4231,0.09%,0.16315973259186223,30.29782314,,"30,297.82",1:52:00,2222,2009,"-29,828.62536",anti-negative,pro-negative,anti-negative,pro-negative
,54,3101,0.06%,0.08460373704207834,3.67019821,,"3,670.20",2:14:00,1216,1885,"-3,477.31798",anti-negative,pro-negative,pro-positive,pro-positive
,55,3523,0.07%,0.14226956622677633,7.34174997,,"7,341.75",1:35:00,1374,2149,"-7,281.52187",anti-negative,pro-negative,pro-positive,anti-negative
,56,4713,0.03%,0.0100127919494492,0.95810153,,958.10,2:32:00,1213,3500,-915.42913,anti-negative,pro-positive,anti-positive,anti-negative
,57,3711,0.07%,0.08691554306884651,6.09014074,,"6,090.14",2:24:00,1959,1752,"-5,975.29626",anti-negative,pro-negative,anti-positive,anti-negative
,58,2764,0.08%,0.13185474592526886,5.44208215,,"5,442.08",1:56:00,2345,419,"-5,342.83975",anti-negative,anti-positive,pro-negative,anti-negative
,59,5219,0.01%,0.010036186297926138,-0.17278480,,-172.78,2:08:00,830,4389,143.98609,anti-negative,pro-positive,pro-positive,anti-negative
,60,1898,0.05%,0.11639516562008424,1.45948590,,"1,459.49",1:21:00,1453,445,"-1,409.70160",anti-negative,anti-positive,pro-positive,anti-negative
,61,3791,-0.04%,0.005071908902718394,-0.83833442,,-838.33,3:22:00,2231,1560,586.64485,anti-positive,pro-positive,anti-positive,anti-negative
,62,4883,0.00%,0.009905246243423824,-0.29660476,,-296.60,2:28:00,1439,3444,262.28527,pro-negative,pro-positive,anti-positive,pro-negative
,63,3502,0.06%,0.06448220018848991,3.86526893,,"3,865.27",1:49:00,2659,843,"-3,710.29981",pro-negative,pro-negative,pro-negative,anti-positive
,64,2810,0.08%,0.14703651971616266,5.03758442,,"5,037.58",1:51:00,2374,436,"-4,946.92173",anti-negative,anti-positive,anti-negative,pro-positive
,65,3817,0.05%,0.10799193126859856,4.18883115,,"4,188.83",1:40:00,2334,1483,"-4,069.16296",anti-negative,pro-positive,anti-negative,anti-positive
,66,3292,0.07%,0.11844007743035115,6.91718216,,"6,917.18",1:37:00,2378,914,"-6,805.79549",anti-negative,pro-negative,anti-negative,anti-positive
,67,5156,0.04%,0.01004685888705939,3.86939181,,"3,869.39",2:17:00,1280,3876,"-3,645.16203",anti-negative,pro-positive,pro-negative,anti-negative
,68,4228,0.09%,0.16073942769107524,30.01855436,,"30,018.55",1:52:00,2221,2007,"-29,553.58697",anti-negative,pro-negative,anti-negative,anti-negative
,69,5157,0.04%,0.010049387158250144,3.97824906,,"3,978.25",2:17:00,1279,3878,"-3,747.71105",anti-negative,pro-positive,pro-negative,pro-negative
,70,3802,0.06%,0.10735612776571501,4.86605011,,"4,866.05",1:41:00,2323,1479,"-4,786.39474",anti-negative,pro-positive,pro-negative,anti-positive
,71,3914,0.06%,0.11316449508153759,5.29705239,,"5,297.05",1:35:00,2302,1612,"-5,029.44312",anti-negative,anti-negative,pro-negative,anti-positive
,72,3639,0.05%,0.01005669095740183,2.93654068,,"2,936.54",3:21:00,785,2854,"-2,801.01705",anti-negative,pro-positive,pro-negative,pro-positive
Best,73,4213,0.10%,0.1600688987812028,31.75332932,,"31,753.33",1:53:00,2213,2000,"-31,261.96041",anti-negative,pro-negative,pro-negative,pro-negative
,74,3722,0.11%,0.10823975076744932,31.12900408,,"31,129.00",2:22:00,1961,1761,"-30,805.96117",anti-negative,pro-negative,anti-negative,pro-positive
,75,4599,0.08%,0.131278481505357,24.19640400,,"24,196.40",1:45:00,2209,2390,"-23,822.06809",anti-negative,anti-negative,pro-negative,pro-negative
,76,3711,0.11%,0.10535786770078698,30.63457138,,"30,634.57",2:23:00,1954,1757,"-30,316.67945",anti-negative,pro-negative,pro-negative,pro-positive
,77,5246,-0.02%,0.0,-0.82531348,,-825.31,2:05:00,4668,578,696.64228,anti-positive,pro-negative,pro-negative,anti-positive
,78,3138,0.05%,0.1623930700263677,2.87060686,,"2,870.61",1:44:00,983,2155,"-2,746.59959",pro-positive,pro-negative,anti-negative,pro-negative
,79,2750,0.05%,0.09086655494764603,1.89204157,,"1,892.04",2:28:00,859,1891,"-1,776.79238",pro-positive,pro-negative,anti-negative,pro-positive
,80,5375,-0.00%,0.0032232875301545423,-0.51662403,,-516.62,2:11:00,4222,1153,437.05495,anti-positive,pro-negative,pro-negative,pro-negative
,81,3276,0.08%,0.11380180621158682,7.69158728,,"7,691.59",1:38:00,2365,911,"-7,568.99052",anti-negative,pro-negative,pro-negative,anti-positive
,82,2830,0.08%,0.14937260864359825,5.22034039,,"5,220.34",1:46:00,2388,442,"-5,124.07600",anti-negative,anti-positive,anti-negative,pro-negative
,83,4616,0.08%,0.1327900616685429,24.54196204,,"24,541.96",1:44:00,2218,2398,"-24,162.38780",anti-negative,anti-negative,anti-negative,pro-negative
,84,5411,0.00%,0.004024091552402849,-0.44129137,,-441.29,2:10:00,4241,1170,374.29781,anti-positive,pro-negative,anti-negative,pro-negative
,85,4597,0.08%,0.13948877887543742,22.39144654,,"22,391.45",1:46:00,2596,2001,"-22,042.63275",pro-negative,pro-negative,anti-negative,pro-negative
,86,3395,0.01%,0.06963169712288804,-0.08493212,,-84.93,2:09:00,2019,1376,77.97608,anti-negative,anti-negative,anti-positive,anti-positive
,87,4454,0.08%,0.1138681595473221,17.29874969,,"17,298.75",2:04:00,2254,2200,"-16,386.97655",pro-negative,anti-negative,anti-negative,pro-positive
,88,4049,0.06%,0.11821865112787626,5.58393940,,"5,583.94",1:39:00,1976,2073,"-5,307.27710",pro-negative,pro-negative,pro-positive,pro-negative
,89,1429,0.03%,0.09719811045504287,0.30867732,,308.68,1:53:00,958,471,-252.51873,pro-positive,anti-positive,anti-positive,pro-negative
,90,4361,0.07%,0.09802223824835056,12.77283232,,"12,772.83",2:00:00,2470,1891,"-12,406.19298",pro-negative,pro-negative,pro-negative,pro-negative
,91,4926,0.01%,0.009989638870003559,-0.17113151,,-171.13,2:15:00,589,4337,147.41336,pro-positive,pro-positive,pro-positive,anti-negative
,92,2467,0.04%,0.048542568962463326,0.64717730,,647.18,2:35:00,2075,392,-612.82010,anti-negative,anti-positive,anti-positive,pro-negative
,93,3874,-0.05%,0.0007323700555831936,-0.91195014,,-911.95,3:10:00,3034,840,727.72202,anti-positive,anti-negative,anti-positive,anti-negative
,94,4928,0.01%,0.010000280975898725,-0.04391269,,-43.91,2:15:00,592,4336,37.82657,pro-positive,pro-positive,pro-positive,pro-negative
,95,1927,0.05%,0.12227396281591174,1.21320534,,"1,213.21",1:16:00,1464,463,"-1,149.47719",anti-negative,anti-positive,pro-positive,pro-positive
,96,4179,0.09%,0.1252967134374596,28.53317572,,"28,533.18",2:10:00,1959,2220,"-27,415.11513",anti-negative,anti-negative,anti-negative,pro-positive
,97,4206,0.04%,0.10156036447432881,2.80044137,,"2,800.44",1:34:00,2744,1462,"-2,674.69985",pro-negative,pro-positive,anti-negative,anti-positive
,98,4463,0.06%,0.1093236465373296,6.80446457,,"6,804.46",1:31:00,1975,2488,"-6,419.88110",pro-negative,anti-negative,pro-positive,pro-negative
,99,5280,0.02%,0.01001309243123518,0.32593279,,325.93,2:10:00,1075,4205,-264.68994,anti-positive,pro-positive,pro-positive,pro-negative
,100,1930,0.05%,0.12248680609373927,1.26783307,,"1,267.83",1:14:00,1465,465,"-1,215.05381",anti-negative,anti-positive,pro-positive,anti-positive
,101,3628,0.05%,0.10450179024538099,3.84553875,,"3,845.54",1:59:00,1211,2417,"-3,585.95038",anti-negative,anti-negative,pro-positive,pro-positive
,102,3733,0.02%,0.010035927066119539,0.19208729,,192.09,3:25:00,1448,2285,-176.92866,anti-positive,pro-positive,anti-negative,pro-positive
,103,3704,0.02%,0.010027493884132703,0.24705454,,247.05,3:27:00,1423,2281,-229.70793,anti-positive,pro-positive,pro-negative,pro-positive
,104,3349,-0.00%,0.010017993735099146,-0.39235770,,-392.36,3:49:00,1564,1785,285.28257,anti-positive,pro-positive,anti-positive,pro-positive
,105,2976,0.02%,0.027108484573378347,0.03876582,,38.77,2:21:00,2591,385,-35.90748,pro-negative,anti-positive,anti-positive,anti-positive
,106,3191,0.04%,0.07845057944971368,1.15046927,,"1,150.47",2:16:00,820,2371,"-1,039.21212",pro-positive,anti-negative,pro-positive,pro-positive
,107,4470,0.05%,0.1129880401648302,4.14460322,,"4,144.60",1:29:00,1929,2541,"-3,925.87510",anti-positive,anti-negative,pro-positive,pro-negative
,108,3837,-0.04%,0.0010909034386251402,-0.87588959,,-875.89,3:10:00,3072,765,703.38199,anti-positive,pro-negative,anti-positive,anti-negative
,109,3364,0.02%,0.010050491653837075,0.10309078,,103.09,3:31:00,378,2986,-91.77344,pro-positive,pro-positive,pro-negative,pro-positive
,110,3768,0.02%,0.0420841932778336,0.13023630,,130.24,2:07:00,2530,1238,-120.45220,pro-negative,pro-positive,anti-positive,anti-positive
,111,5528,-0.00%,0.006793606737135171,-0.50839035,,-508.39,2:08:00,4208,1320,428.92325,anti-positive,anti-negative,pro-negative,pro-negative
,112,3414,0.01%,0.010042523426043682,-0.07273042,,-72.73,3:27:00,382,3032,65.03590,pro-positive,pro-positive,pro-positive,pro-positive
,113,4163,0.10%,0.12107789429360451,28.44740591,,"28,447.41",2:11:00,1952,2211,"-27,378.35417",anti-negative,anti-negative,pro-negative,pro-positive
,114,4047,0.06%,0.11864507770433268,5.69959298,,"5,699.59",1:39:00,1976,2071,"-5,421.76263",pro-negative,pro-negative,pro-positive,anti-negative
,115,3595,0.02%,0.08989404734202083,0.62002861,,620.03,1:24:00,2088,1507,-539.49227,pro-negative,pro-positive,pro-positive,anti-positive
,116,3633,0.05%,0.010040180173255704,2.85260968,,"2,852.61",3:24:00,882,2751,"-2,727.30316",pro-negative,pro-positive,pro-negative,pro-positive
,117,2444,0.03%,0.08435651966158862,0.58209814,,582.10,1:45:00,905,1539,-498.06948,pro-positive,pro-positive,pro-negative,anti-positive
,118,4670,0.07%,0.09302839052254183,11.06085648,,"11,060.86",1:53:00,2450,2220,"-10,632.27655",pro-negative,anti-negative,pro-negative,pro-negative
,119,3526,0.05%,0.11766233637125127,3.77327571,,"3,773.28",1:39:00,940,2586,"-3,608.93642",pro-positive,anti-negative,pro-positive,pro-negative
,120,4996,-0.02%,0.0,-0.83345920,,-833.46,2:09:00,4721,275,675.50208,anti-positive,anti-positive,anti-negative,anti-positive
,121,3394,0.01%,0.010046443469948903,0.02154086,,21.54,3:29:00,379,3015,-19.11178,pro-positive,pro-positive,anti-positive,pro-positive
,122,3029,0.06%,0.14226956622677636,3.53765171,,"3,537.65",1:57:00,918,2111,"-3,488.45428",pro-positive,pro-negative,anti-positive,anti-negative
,123,4423,0.05%,0.07260053845399353,3.25349870,,"3,253.50",2:07:00,2412,2011,"-3,088.45667",pro-negative,anti-negative,anti-positive,pro-negative
,124,5331,-0.03%,0.0,-0.87063893,,-870.64,2:08:00,4455,876,745.00853,anti-positive,pro-positive,pro-negative,anti-positive
